[ ssh/interactive_shell ] trial  4 measure  27/100: 20.05 ms
[ ssh/interactive_shell ] trial  4 measure  28/100: 19.04 ms
[ ssh/interactive_shell ] trial  4 measure  29/100: 19.95 ms
[ ssh/interactive_shell ] trial  4 measure  30/100: 19.50 ms
[ ssh/interactive_shell ] trial  4 measure  31/100: 19.62 ms
[ ssh/interactive_shell ] trial  4 measure  32/100: 19.12 ms
[ ssh/interactive_shell ] trial  4 measure  33/100: 18.77 ms
[ ssh/interactive_shell ] trial  4 measure  34/100: 20.41 ms
[ ssh/interactive_shell ] trial  4 measure  35/100: 19.74 ms
[ ssh/interactive_shell ] trial  4 measure  36/100: 19.51 ms
[ ssh/interactive_shell ] trial  4 measure  37/100: 19.57 ms
[ ssh/interactive_shell ] trial  4 measure  38/100: 19.27 ms
[ ssh/interactive_shell ] trial  4 measure  39/100: 20.76 ms
[ ssh/interactive_shell ] trial  4 measure  40/100: 19.56 ms
[ ssh/interactive_shell ] trial  4 measure  41/100: 18.92 ms
[ ssh/interactive_shell ] trial  4 measure  42/100: 21.31 ms
[ ssh/interactive_shell ] trial  4 measure  43/100: 18.88 ms
[ ssh/interactive_shell ] trial  4 measure  44/100: 18.30 ms
[ ssh/interactive_shell ] trial  4 measure  45/100: 18.70 ms
[ ssh/interactive_shell ] trial  4 measure  46/100: 20.22 ms
[ ssh/interactive_shell ] trial  4 measure  47/100: 20.62 ms
[ ssh/interactive_shell ] trial  4 measure  48/100: 20.77 ms
[ ssh/interactive_shell ] trial  4 measure  49/100: 19.50 ms
[ ssh/interactive_shell ] trial  4 measure  50/100: 20.49 ms
[ ssh/interactive_shell ] trial  4 measure  51/100: 18.79 ms
[ ssh/interactive_shell ] trial  4 measure  52/100: 20.35 ms
[ ssh/interactive_shell ] trial  4 measure  53/100: 19.57 ms
[ ssh/interactive_shell ] trial  4 measure  54/100: 20.33 ms
[ ssh/interactive_shell ] trial  4 measure  55/100: 19.73 ms
[ ssh/interactive_shell ] trial  4 measure  56/100: 20.06 ms
[ ssh/interactive_shell ] trial  4 measure  57/100: 18.84 ms
[ ssh/interactive_shell ] trial  4 measure  58/100: 21.91 ms
[ ssh/interactive_shell ] trial  4 measure  59/100: 17.88 ms
[ ssh/interactive_shell ] trial  4 measure  60/100: 19.95 ms
[ ssh/interactive_shell ] trial  4 measure  61/100: 20.65 ms
[ ssh/interactive_shell ] trial  4 measure  62/100: 19.08 ms
[ ssh/interactive_shell ] trial  4 measure  63/100: 21.16 ms
[ ssh/interactive_shell ] trial  4 measure  64/100: 20.39 ms
[ ssh/interactive_shell ] trial  4 measure  65/100: 22.69 ms
[ ssh/interactive_shell ] trial  4 measure  66/100: 17.05 ms
[ ssh/interactive_shell ] trial  4 measure  67/100: 20.25 ms
[ ssh/interactive_shell ] trial  4 measure  68/100: 19.04 ms
[ ssh/interactive_shell ] trial  4 measure  69/100: 19.84 ms
[ ssh/interactive_shell ] trial  4 measure  70/100: 19.33 ms
[ ssh/interactive_shell ] trial  4 measure  71/100: 20.34 ms
[ ssh/interactive_shell ] trial  4 measure  72/100: 19.68 ms
[ ssh/interactive_shell ] trial  4 measure  73/100: 19.30 ms
[ ssh/interactive_shell ] trial  4 measure  74/100: 19.45 ms
[ ssh/interactive_shell ] trial  4 measure  75/100: 19.99 ms
[ ssh/interactive_shell ] trial  4 measure  76/100: 21.87 ms
[ ssh/interactive_shell ] trial  4 measure  77/100: 19.65 ms
[ ssh/interactive_shell ] trial  4 measure  78/100: 19.27 ms
[ ssh/interactive_shell ] trial  4 measure  79/100: 20.96 ms
[ ssh/interactive_shell ] trial  4 measure  80/100: 19.35 ms
[ ssh/interactive_shell ] trial  4 measure  81/100: 20.91 ms
[ ssh/interactive_shell ] trial  4 measure  82/100: 20.75 ms
[ ssh/interactive_shell ] trial  4 measure  83/100: 19.18 ms
[ ssh/interactive_shell ] trial  4 measure  84/100: 20.63 ms
[ ssh/interactive_shell ] trial  4 measure  85/100: 20.11 ms
[ ssh/interactive_shell ] trial  4 measure  86/100: 19.92 ms
[ ssh/interactive_shell ] trial  4 measure  87/100: 20.73 ms
[ ssh/interactive_shell ] trial  4 measure  88/100: 21.25 ms
[ ssh/interactive_shell ] trial  4 measure  89/100: 21.07 ms
[ ssh/interactive_shell ] trial  4 measure  90/100: 19.85 ms
[ ssh/interactive_shell ] trial  4 measure  91/100: 19.84 ms
[ ssh/interactive_shell ] trial  4 measure  92/100: 20.23 ms
[ ssh/interactive_shell ] trial  4 measure  93/100: 19.70 ms
[ ssh/interactive_shell ] trial  4 measure  94/100: 18.17 ms
[ ssh/interactive_shell ] trial  4 measure  95/100: 20.23 ms
[ ssh/interactive_shell ] trial  4 measure  96/100: 18.40 ms
[ ssh/interactive_shell ] trial  4 measure  97/100: 24.60 ms
[ ssh/interactive_shell ] trial  4 measure  98/100: 16.87 ms
[ ssh/interactive_shell ] trial  4 measure  99/100: 20.20 ms
[ ssh/interactive_shell ] trial  4 measure 100/100: 20.88 ms
[ ssh/interactive_shell ] trial  5/10 opening session...
[ ssh/interactive_shell ] trial  5/10 session_setup=237.8 ms
[ ssh/interactive_shell ] trial  5 measure   1/100: 1.37 ms
[ ssh/interactive_shell ] trial  5 measure   2/100: 19.10 ms
[ ssh/interactive_shell ] trial  5 measure   3/100: 18.59 ms
