scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,status,warmup,error_type,error_message
high,mosh,command_loop,4,17,2,df -h,216.137627,ok,0,,
high,mosh,command_loop,4,18,2,df -h,273.816500,ok,0,,
high,mosh,command_loop,4,19,2,df -h,267.339409,ok,0,,
high,mosh,command_loop,4,20,2,df -h,257.850046,ok,0,,
high,mosh,command_loop,4,21,2,df -h,267.977960,ok,0,,
high,mosh,command_loop,4,22,2,df -h,275.283003,ok,0,,
high,mosh,command_loop,4,23,2,df -h,265.041300,ok,0,,
high,mosh,command_loop,4,24,2,df -h,273.031924,ok,0,,
high,mosh,command_loop,4,25,2,df -h,263.160920,ok,0,,
high,mosh,command_loop,4,26,2,df -h,314.325443,ok,0,,
high,mosh,command_loop,4,27,2,df -h,292.456913,ok,0,,
high,mosh,command_loop,4,28,2,df -h,284.834326,ok,0,,
high,mosh,command_loop,4,29,2,df -h,257.347990,ok,0,,
high,mosh,command_loop,4,30,2,df -h,389.228112,ok,0,,
high,mosh,command_loop,4,31,2,df -h,296.860516,ok,0,,
high,mosh,command_loop,4,32,2,df -h,293.191266,ok,0,,
high,mosh,command_loop,4,33,2,df -h,235.390581,ok,0,,
high,mosh,command_loop,4,34,2,df -h,290.163561,ok,0,,
high,mosh,command_loop,4,35,2,df -h,437.596205,ok,0,,
high,mosh,command_loop,4,36,2,df -h,291.499973,ok,0,,
high,mosh,command_loop,4,37,2,df -h,235.922525,ok,0,,
high,mosh,command_loop,4,38,2,df -h,284.967287,ok,0,,
high,mosh,command_loop,4,39,2,df -h,213.175853,ok,0,,
high,mosh,command_loop,4,40,2,df -h,301.856846,ok,0,,
high,mosh,command_loop,4,41,2,df -h,274.417484,ok,0,,
high,mosh,command_loop,4,42,2,df -h,238.189933,ok,0,,
high,mosh,command_loop,4,43,2,df -h,277.136612,ok,0,,
high,mosh,command_loop,4,44,2,df -h,299.205689,ok,0,,
high,mosh,command_loop,4,45,2,df -h,257.980573,ok,0,,
high,mosh,command_loop,4,46,2,df -h,282.234117,ok,0,,
high,mosh,command_loop,4,47,2,df -h,239.046145,ok,0,,
high,mosh,command_loop,4,48,2,df -h,274.997473,ok,0,,
high,mosh,command_loop,4,49,2,df -h,262.660579,ok,0,,
high,mosh,command_loop,4,50,2,df -h,273.860643,ok,0,,
high,mosh,command_loop,5,1,2,df -h,280.586380,ok,1,,
high,mosh,command_loop,5,2,2,df -h,278.101433,ok,1,,
high,mosh,command_loop,5,3,2,df -h,268.924438,ok,1,,
high,mosh,command_loop,5,4,2,df -h,278.006207,ok,0,,
high,mosh,command_loop,5,5,2,df -h,280.743042,ok,0,,
high,mosh,command_loop,5,6,2,df -h,268.653098,ok,0,,
high,mosh,command_loop,5,7,2,df -h,398.013349,ok,0,,
high,mosh,command_loop,5,8,2,df -h,292.362122,ok,0,,
high,mosh,command_loop,5,9,2,df -h,244.901649,ok,0,,
high,mosh,command_loop,5,10,2,df -h,245.334566,ok,0,,
high,mosh,command_loop,5,11,2,df -h,253.641508,ok,0,,
high,mosh,command_loop,5,12,2,df -h,253.259566,ok,0,,
high,mosh,command_loop,5,13,2,df -h,288.738972,ok,0,,
high,mosh,command_loop,5,14,2,df -h,359.726127,ok,0,,
high,mosh,command_loop,5,15,2,df -h,251.292830,ok,0,,
high,mosh,command_loop,5,16,2,df -h,281.974203,ok,0,,
high,mosh,command_loop,5,17,2,df -h,307.184049,ok,0,,
high,mosh,command_loop,5,18,2,df -h,253.642220,ok,0,,
high,mosh,command_loop,5,19,2,df -h,260.482370,ok,0,,
high,mosh,command_loop,5,20,2,df -h,278.938385,ok,0,,
high,mosh,command_loop,5,21,2,df -h,258.799387,ok,0,,
high,mosh,command_loop,5,22,2,df -h,400.436592,ok,0,,
high,mosh,command_loop,5,23,2,df -h,297.650786,ok,0,,
high,mosh,command_loop,5,24,2,df -h,272.771522,ok,0,,
high,mosh,command_loop,5,25,2,df -h,215.544540,ok,0,,
high,mosh,command_loop,5,26,2,df -h,297.483264,ok,0,,
high,mosh,command_loop,5,27,2,df -h,277.264353,ok,0,,
high,mosh,command_loop,5,28,2,df -h,272.749738,ok,0,,
high,mosh,command_loop,5,29,2,df -h,232.062931,ok,0,,
high,mosh,command_loop,5,30,2,df -h,772.632166,ok,0,,
high,mosh,command_loop,5,31,2,df -h,311.085391,ok,0,,
high,mosh,command_loop,5,32,2,df -h,262.639925,ok,0,,
high,mosh,command_loop,5,33,2,df -h,237.231389,ok,0,,
high,mosh,command_loop,5,34,2,df -h,240.774574,ok,0,,
high,mosh,command_loop,5,35,2,df -h,281.755495,ok,0,,
high,mosh,command_loop,5,36,2,df -h,233.266318,ok,0,,
high,mosh,command_loop,5,37,2,df -h,308.041858,ok,0,,
high,mosh,command_loop,5,38,2,df -h,259.822033,ok,0,,
high,mosh,command_loop,5,39,2,df -h,296.357726,ok,0,,
high,mosh,command_loop,5,40,2,df -h,262.643217,ok,0,,
high,mosh,command_loop,5,41,2,df -h,280.357537,ok,0,,
high,mosh,command_loop,5,42,2,df -h,248.861392,ok,0,,
high,mosh,command_loop,5,43,2,df -h,224.212833,ok,0,,
high,mosh,command_loop,5,44,2,df -h,288.928347,ok,0,,
high,mosh,command_loop,5,45,2,df -h,227.573522,ok,0,,
high,mosh,command_loop,5,46,2,df -h,239.615099,ok,0,,
high,mosh,command_loop,5,47,2,df -h,292.998879,ok,0,,
high,mosh,command_loop,5,48,2,df -h,760.146832,ok,0,,
high,mosh,command_loop,5,49,2,df -h,281.792336,ok,0,,
high,mosh,command_loop,5,50,2,df -h,281.147266,ok,0,,
high,mosh,command_loop,6,1,2,df -h,983.345395,ok,1,,
high,mosh,command_loop,6,2,2,df -h,325.027708,ok,1,,
high,mosh,command_loop,6,3,2,df -h,264.276813,ok,1,,
high,mosh,command_loop,6,4,2,df -h,276.316057,ok,0,,
high,mosh,command_loop,6,5,2,df -h,249.136227,ok,0,,
high,mosh,command_loop,6,6,2,df -h,271.553200,ok,0,,
high,mosh,command_loop,6,7,2,df -h,260.005704,ok,0,,
high,mosh,command_loop,6,8,2,df -h,253.814852,ok,0,,
high,mosh,command_loop,6,9,2,df -h,275.949403,ok,0,,
high,mosh,command_loop,6,10,2,df -h,226.408243,ok,0,,
high,mosh,command_loop,6,11,2,df -h,274.833566,ok,0,,
high,mosh,command_loop,6,12,2,df -h,262.903529,ok,0,,
high,mosh,command_loop,6,13,2,df -h,283.932145,ok,0,,
high,mosh,command_loop,6,14,2,df -h,233.921366,ok,0,,
high,mosh,command_loop,6,15,2,df -h,266.013048,ok,0,,
high,mosh,command_loop,6,16,2,df -h,261.199726,ok,0,,
high,mosh,command_loop,6,17,2,df -h,264.649517,ok,0,,
high,mosh,command_loop,6,18,2,df -h,249.379327,ok,0,,
high,mosh,command_loop,6,19,2,df -h,265.529686,ok,0,,
high,mosh,command_loop,6,20,2,df -h,259.705866,ok,0,,
high,mosh,command_loop,6,21,2,df -h,259.689489,ok,0,,
high,mosh,command_loop,6,22,2,df -h,235.962137,ok,0,,
high,mosh,command_loop,6,23,2,df -h,458.546598,ok,0,,
high,mosh,command_loop,6,24,2,df -h,244.788923,ok,0,,
high,mosh,command_loop,6,25,2,df -h,330.835325,ok,0,,
high,mosh,command_loop,6,26,2,df -h,273.393203,ok,0,,
high,mosh,command_loop,6,27,2,df -h,245.946829,ok,0,,
high,mosh,command_loop,6,28,2,df -h,270.702298,ok,0,,
high,mosh,command_loop,6,29,2,df -h,435.110762,ok,0,,
high,mosh,command_loop,6,30,2,df -h,253.404686,ok,0,,
high,mosh,command_loop,6,31,2,df -h,265.285768,ok,0,,
high,mosh,command_loop,6,32,2,df -h,258.331132,ok,0,,
high,mosh,command_loop,6,33,2,df -h,225.555109,ok,0,,
high,mosh,command_loop,6,34,2,df -h,298.695941,ok,0,,
high,mosh,command_loop,6,35,2,df -h,293.979916,ok,0,,
high,mosh,command_loop,6,36,2,df -h,289.888953,ok,0,,
high,mosh,command_loop,6,37,2,df -h,380.569591,ok,0,,
high,mosh,command_loop,6,38,2,df -h,232.927928,ok,0,,
high,mosh,command_loop,6,39,2,df -h,283.752597,ok,0,,
high,mosh,command_loop,6,40,2,df -h,273.652737,ok,0,,
high,mosh,command_loop,6,41,2,df -h,296.377095,ok,0,,
high,mosh,command_loop,6,42,2,df -h,215.535714,ok,0,,
high,mosh,command_loop,6,43,2,df -h,314.063189,ok,0,,
high,mosh,command_loop,6,44,2,df -h,281.717289,ok,0,,
high,mosh,command_loop,6,45,2,df -h,246.059574,ok,0,,
high,mosh,command_loop,6,46,2,df -h,285.451235,ok,0,,
high,mosh,command_loop,6,47,2,df -h,261.102209,ok,0,,
high,mosh,command_loop,6,48,2,df -h,257.594899,ok,0,,
high,mosh,command_loop,6,49,2,df -h,215.589287,ok,0,,
high,mosh,command_loop,6,50,2,df -h,297.619495,ok,0,,
high,mosh,command_loop,7,1,2,df -h,275.159564,ok,1,,
high,mosh,command_loop,7,2,2,df -h,296.909870,ok,1,,
high,mosh,command_loop,7,3,2,df -h,286.537055,ok,1,,
high,mosh,command_loop,7,4,2,df -h,226.268333,ok,0,,
high,mosh,command_loop,7,5,2,df -h,245.596462,ok,0,,
high,mosh,command_loop,7,6,2,df -h,287.199543,ok,0,,
high,mosh,command_loop,7,7,2,df -h,252.989266,ok,0,,
high,mosh,command_loop,7,8,2,df -h,268.619903,ok,0,,
high,mosh,command_loop,7,9,2,df -h,268.763303,ok,0,,
high,mosh,command_loop,7,10,2,df -h,267.562872,ok,0,,
high,mosh,command_loop,7,11,2,df -h,239.764771,ok,0,,
high,mosh,command_loop,7,12,2,df -h,232.198470,ok,0,,
high,mosh,command_loop,7,13,2,df -h,242.891798,ok,0,,
