scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,49,1,find /etc /var/log -type f 2>/dev/null,18.603011,23851,1252.054960,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,50,1,find /etc /var/log -type f 2>/dev/null,11.001159,23836,2115.899220,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,1,1,find /etc /var/log -type f 2>/dev/null,14.448105,23836,1611.100124,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,2,1,find /etc /var/log -type f 2>/dev/null,14.232234,23836,1635.536891,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,3,1,find /etc /var/log -type f 2>/dev/null,13.103581,23836,1776.410872,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,4,1,find /etc /var/log -type f 2>/dev/null,10.777903,23836,2159.728451,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,5,1,find /etc /var/log -type f 2>/dev/null,17.057235,23836,1364.661022,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,6,1,find /etc /var/log -type f 2>/dev/null,14.389907,23836,1617.615996,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,7,1,find /etc /var/log -type f 2>/dev/null,14.997789,23836,1552.051689,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,8,1,find /etc /var/log -type f 2>/dev/null,12.404689,23836,1876.495553,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,9,1,find /etc /var/log -type f 2>/dev/null,18.079825,23836,1287.476165,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,10,1,find /etc /var/log -type f 2>/dev/null,13.472018,23836,1727.829027,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,11,1,find /etc /var/log -type f 2>/dev/null,12.346693,23836,1885.309998,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,12,1,find /etc /var/log -type f 2>/dev/null,13.637189,23836,1706.901895,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,13,1,find /etc /var/log -type f 2>/dev/null,12.765494,23836,1823.458125,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,14,1,find /etc /var/log -type f 2>/dev/null,11.905451,23836,1955.183701,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,15,1,find /etc /var/log -type f 2>/dev/null,14.155900,23851,1645.391122,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,16,1,find /etc /var/log -type f 2>/dev/null,14.764550,23836,1576.569807,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,17,1,find /etc /var/log -type f 2>/dev/null,16.570258,23851,1405.650545,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,18,1,find /etc /var/log -type f 2>/dev/null,11.335019,23836,2053.577833,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,19,1,find /etc /var/log -type f 2>/dev/null,10.104744,23836,2303.605490,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,20,1,find /etc /var/log -type f 2>/dev/null,17.470225,23836,1332.400914,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,21,1,find /etc /var/log -type f 2>/dev/null,14.331099,23836,1624.253921,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,22,1,find /etc /var/log -type f 2>/dev/null,11.068055,23836,2103.110596,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,23,1,find /etc /var/log -type f 2>/dev/null,9.277022,23836,2509.139652,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,24,1,find /etc /var/log -type f 2>/dev/null,16.946595,23836,1373.570546,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,25,1,find /etc /var/log -type f 2>/dev/null,15.149937,23836,1536.464723,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,26,1,find /etc /var/log -type f 2>/dev/null,11.954273,23836,1947.198608,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,27,1,find /etc /var/log -type f 2>/dev/null,15.177086,23836,1533.716271,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,28,1,find /etc /var/log -type f 2>/dev/null,11.583412,23836,2009.541209,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,29,1,find /etc /var/log -type f 2>/dev/null,14.090596,23836,1651.977230,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,30,1,find /etc /var/log -type f 2>/dev/null,13.156869,23836,1769.216046,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,31,1,find /etc /var/log -type f 2>/dev/null,16.335504,23836,1424.954121,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,32,1,find /etc /var/log -type f 2>/dev/null,11.826703,23851,1969.440865,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,33,1,find /etc /var/log -type f 2>/dev/null,14.067274,23836,1654.716027,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,34,1,find /etc /var/log -type f 2>/dev/null,21.343324,23836,1090.614740,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,35,1,find /etc /var/log -type f 2>/dev/null,11.451750,23851,2033.924264,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,36,1,find /etc /var/log -type f 2>/dev/null,11.009494,23836,2114.297328,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,37,1,find /etc /var/log -type f 2>/dev/null,11.335079,23836,2053.566962,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,38,1,find /etc /var/log -type f 2>/dev/null,13.400411,23836,1737.061927,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,39,1,find /etc /var/log -type f 2>/dev/null,14.584767,23836,1596.003813,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,40,1,find /etc /var/log -type f 2>/dev/null,12.987504,23836,1792.287706,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,41,1,find /etc /var/log -type f 2>/dev/null,13.550511,23836,1717.820365,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,42,1,find /etc /var/log -type f 2>/dev/null,15.395427,23836,1511.964803,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,43,1,find /etc /var/log -type f 2>/dev/null,11.632225,23851,2002.367749,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,44,1,find /etc /var/log -type f 2>/dev/null,11.818157,23836,1969.625530,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,45,1,find /etc /var/log -type f 2>/dev/null,9.843887,23836,2364.649630,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,46,1,find /etc /var/log -type f 2>/dev/null,11.686983,23836,1991.732490,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,47,1,find /etc /var/log -type f 2>/dev/null,9.715112,23836,2395.993350,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,48,1,find /etc /var/log -type f 2>/dev/null,12.254121,23836,1899.552302,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,49,1,find /etc /var/log -type f 2>/dev/null,15.171560,23836,1534.274903,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,50,1,find /etc /var/log -type f 2>/dev/null,10.411465,23836,2235.741440,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,3,1,1,find /etc /var/log -type f 2>/dev/null,10.157498,23836,2291.641480,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,3,2,1,find /etc /var/log -type f 2>/dev/null,13.528607,23836,1720.601667,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,3,3,1,find /etc /var/log -type f 2>/dev/null,15.905747,23836,1463.454923,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,3,4,1,find /etc /var/log -type f 2>/dev/null,20.484782,23836,1136.323723,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,3,5,1,find /etc /var/log -type f 2>/dev/null,9.587473,23851,2429.419325,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,3,6,1,find /etc /var/log -type f 2>/dev/null,16.722617,23836,1391.967761,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,3,7,1,find /etc /var/log -type f 2>/dev/null,15.422293,23836,1509.330924,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,3,8,1,find /etc /var/log -type f 2>/dev/null,16.937988,23836,1374.268523,100.00,ok,,
