[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=4185.2 ms
[ ssh/interactive_shell ] trial  2 measure  57/100: 215.18 ms
[ ssh/interactive_shell ] trial  2 measure  58/100: 351.92 ms
[ ssh/interactive_shell ] trial  2 measure  59/100: 247.44 ms
[ ssh/interactive_shell ] trial  2 measure  60/100: 252.63 ms
[ ssh/interactive_shell ] trial  2 measure  61/100: 341.16 ms
[ ssh/interactive_shell ] trial  2 measure  62/100: 192.96 ms
[ ssh/interactive_shell ] trial  2 measure  63/100: 661.03 ms
[ ssh/interactive_shell ] trial  2 measure  64/100: 266.23 ms
[ ssh/interactive_shell ] trial  2 measure  65/100: 302.36 ms
[ ssh/interactive_shell ] trial  2 measure  66/100: 243.61 ms
[ ssh/interactive_shell ] trial  2 measure  67/100: 222.56 ms
[ ssh/interactive_shell ] trial  2 measure  68/100: 189.17 ms
[ ssh/interactive_shell ] trial  2 measure  69/100: 269.33 ms
[ ssh/interactive_shell ] trial  2 measure  70/100: 413.36 ms
[ ssh/interactive_shell ] trial  2 measure  71/100: 469.74 ms
[ ssh/interactive_shell ] trial  2 measure  72/100: 268.22 ms
[ ssh/interactive_shell ] trial  2 measure  73/100: 454.47 ms
[ ssh/interactive_shell ] trial  2 measure  74/100: 202.64 ms
[ ssh/interactive_shell ] trial  2 measure  75/100: 227.06 ms
[ ssh/interactive_shell ] trial  2 measure  76/100: 211.27 ms
[ ssh/interactive_shell ] trial  2 measure  77/100: 244.48 ms
[ ssh/interactive_shell ] trial  2 measure  78/100: 260.45 ms
[ ssh/interactive_shell ] trial  2 measure  79/100: 242.25 ms
[ ssh/interactive_shell ] trial  2 measure  80/100: 260.26 ms
[ ssh/interactive_shell ] trial  2 measure  81/100: 251.50 ms
[ ssh/interactive_shell ] trial  2 measure  82/100: 279.89 ms
[ ssh/interactive_shell ] trial  2 measure  83/100: 346.23 ms
[ ssh/interactive_shell ] trial  2 measure  84/100: 200.86 ms
[ ssh/interactive_shell ] trial  2 measure  85/100: 248.01 ms
[ ssh/interactive_shell ] trial  2 measure  86/100: 262.25 ms
[ ssh/interactive_shell ] trial  2 measure  87/100: 222.92 ms
[ ssh/interactive_shell ] trial  2 measure  88/100: 241.11 ms
[ ssh/interactive_shell ] trial  2 measure  89/100: 231.80 ms
[ ssh/interactive_shell ] trial  2 measure  90/100: 224.61 ms
[ ssh/interactive_shell ] trial  2 measure  91/100: 256.99 ms
[ ssh/interactive_shell ] trial  2 measure  92/100: 217.06 ms
[ ssh/interactive_shell ] trial  2 measure  93/100: 215.93 ms
[ ssh/interactive_shell ] trial  2 measure  94/100: 254.54 ms
[ ssh/interactive_shell ] trial  2 measure  95/100: 303.50 ms
[ ssh/interactive_shell ] trial  2 measure  96/100: 254.95 ms
[ ssh/interactive_shell ] trial  2 measure  97/100: 219.49 ms
[ ssh/interactive_shell ] trial  2 measure  98/100: 527.33 ms
[ ssh/interactive_shell ] trial  2 measure  99/100: 214.93 ms
[ ssh/interactive_shell ] trial  2 measure 100/100: 242.94 ms
[ ssh/interactive_shell ] trial  3/3 opening session...
[ ssh/interactive_shell ] trial  3/3 session_setup=3703.1 ms
[ ssh/interactive_shell ] trial  3 measure   1/100: 202.83 ms
[ ssh/interactive_shell ] trial  3 measure   2/100: 232.80 ms
[ ssh/interactive_shell ] trial  3 measure   3/100: 193.60 ms
[ ssh/interactive_shell ] trial  3 measure   4/100: 320.85 ms
[ ssh/interactive_shell ] trial  3 measure   5/100: 202.55 ms
[ ssh/interactive_shell ] trial  3 measure   6/100: 325.36 ms
[ ssh/interactive_shell ] trial  3 measure   7/100: 296.79 ms
[ ssh/interactive_shell ] trial  3 measure   8/100: 299.83 ms
[ ssh/interactive_shell ] trial  3 measure   9/100: 196.21 ms
[ ssh/interactive_shell ] trial  3 measure  10/100: 201.54 ms
[ ssh/interactive_shell ] trial  3 measure  11/100: 530.89 ms
[ ssh/interactive_shell ] trial  3 measure  12/100: 259.48 ms
[ ssh/interactive_shell ] trial  3 measure  13/100: 253.02 ms
[ ssh/interactive_shell ] trial  3 measure  14/100: 442.13 ms
[ ssh/interactive_shell ] trial  3 measure  15/100: 391.90 ms
